[2020-03-16 09:43:55,296] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,349] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,448] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,459] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,476] INFO Cleaner 0: Cleaning LogSegment(baseOffset=0, size=641, lastModifiedTime=1583296891272, largestTime=1583296888053) in log __consumer_offsets-15 into 0 with deletion horizon 0, retaining deletes. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,516] INFO Cleaner 0: Swapping in cleaned segment LogSegment(baseOffset=0, size=94, lastModifiedTime=1583296891272, largestTime=1583296888053) for segment(s) List(LogSegment(baseOffset=0, size=641, lastModifiedTime=1583296891272, largestTime=1583296888053)) in log Log(dir=C:\kafka_2.13-2.4.0\data\kafka-0\__consumer_offsets-15, topic=__consumer_offsets, partition=15, highWatermark=0, lastStableOffset=0, logStartOffset=0, logEndOffset=4) (kafka.log.LogCleaner)
[2020-03-16 09:43:55,581] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,581] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,622] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,623] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,624] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,642] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,642] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,677] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,678] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,679] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,695] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,695] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,733] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,734] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,735] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,774] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,774] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,812] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,815] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,815] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,841] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,841] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,876] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:55,877] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,878] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:55,928] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:55,928] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:56,057] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:56,059] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:56,059] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
[2020-03-16 09:43:56,117] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
[2020-03-16 09:43:56,118] INFO Cleaner 0: Building offset map for __consumer_offsets-15... (kafka.log.LogCleaner)
[2020-03-16 09:43:56,156] INFO Cleaner 0: Building offset map for log __consumer_offsets-15 for 1 segments in offset range [0, 3). (kafka.log.LogCleaner)
[2020-03-16 09:43:56,158] INFO Cleaner 0: Offset map for log __consumer_offsets-15 complete. (kafka.log.LogCleaner)
[2020-03-16 09:43:56,159] INFO Cleaner 0: Cleaning log __consumer_offsets-15 (cleaning prior to Wed Mar 04 10:11:31 IST 2020, discarding tombstones prior to Thu Jan 01 05:30:00 IST 1970)... (kafka.log.LogCleaner)
